DATE;HOUR;MINUTE;AVG;MIN;MAX;HH;H;L;LL;MEASURE
20160112;9;;143.64;;;;;;;Rh/h
20160112;10;;143.63;;;;;;;Rh/h
20160112;11;;143.52;;;;;;;Rh/h
20160112;12;;143.76;;;;;;;Rh/h
20160112;13;;143.63;;;;;;;Rh/h
20160112;14;;143.78;;;;;;;Rh/h
20160112;15;;143.71;;;;;;;Rh/h
20160112;16;;143.56;;;;;;;Rh/h
20160112;17;;143.64;;;;;;;Rh/h
20160112;18;;143.67;;;;;;;Rh/h
20160112;19;;143.6;;;;;;;Rh/h
20160112;20;;143.59;;;;;;;Rh/h
20160112;21;;143.59;;;;;;;Rh/h
20160112;22;;143.65;;;;;;;Rh/h
20160112;23;;143.64;;;;;;;Rh/h
20160113;0;;143.65;;;;;;;Rh/h
20160113;1;;143.53;;;;;;;Rh/h
20160113;2;;143.7;;;;;;;Rh/h
20160113;3;;143.65;;;;;;;Rh/h
20160113;4;;143.62;;;;;;;Rh/h
20160113;5;;143.66;;;;;;;Rh/h
20160113;6;;143.59;;;;;;;Rh/h
20160113;7;;143.68;;;;;;;Rh/h
20160113;8;;143.57;;;;;;;Rh/h
20160113;9;;143.61;;;;;;;Rh/h
20160113;10;;143.7;;;;;;;Rh/h
20160113;11;;143.66;;;;;;;Rh/h
20160113;12;;143.78;;;;;;;Rh/h
20160113;13;;143.7;;;;;;;Rh/h
20160113;14;;143.61;;;;;;;Rh/h
20160113;15;;143.72;;;;;;;Rh/h
20160113;16;;143.64;;;;;;;Rh/h
20160113;17;;143.69;;;;;;;Rh/h
20160113;18;;143.7;;;;;;;Rh/h
20160113;19;;143.59;;;;;;;Rh/h
20160113;20;;143.63;;;;;;;Rh/h
20160113;21;;143.57;;;;;;;Rh/h
20160113;22;;143.82;;;;;;;Rh/h
20160113;23;;143.78;;;;;;;Rh/h
20160114;0;;143.63;;;;;;;Rh/h
20160114;1;;143.75;;;;;;;Rh/h
20160114;2;;143.71;;;;;;;Rh/h
20160114;3;;143.74;;;;;;;Rh/h
20160114;4;;143.68;;;;;;;Rh/h
20160114;5;;143.67;;;;;;;Rh/h
20160114;6;;143.77;;;;;;;Rh/h
20160114;7;;143.62;;;;;;;Rh/h
20160114;8;;143.61;;;;;;;Rh/h
20160114;9;;143.72;;;;;;;Rh/h
20160114;10;;143.73;;;;;;;Rh/h
20160114;11;;143.7;;;;;;;Rh/h
20160114;12;;143.64;;;;;;;Rh/h
20160114;13;;143.62;;;;;;;Rh/h
20160114;14;;143.59;;;;;;;Rh/h
20160114;15;;143.55;;;;;;;Rh/h
20160114;16;;143.62;;;;;;;Rh/h
20160114;17;;143.55;;;;;;;Rh/h
20160114;18;;143.54;;;;;;;Rh/h
20160114;19;;143.63;;;;;;;Rh/h
20160114;20;;143.75;;;;;;;Rh/h
20160114;21;;143.8;;;;;;;Rh/h
20160114;22;;143.67;;;;;;;Rh/h
20160114;23;;143.74;;;;;;;Rh/h
20160115;0;;143.66;;;;;;;Rh/h
20160115;1;;143.65;;;;;;;Rh/h
20160115;2;;143.73;;;;;;;Rh/h
20160115;3;;143.59;;;;;;;Rh/h
20160115;4;;143.59;;;;;;;Rh/h
20160115;5;;143.6;;;;;;;Rh/h
20160115;6;;143.63;;;;;;;Rh/h
20160115;7;;143.56;;;;;;;Rh/h
20160115;8;;143.54;;;;;;;Rh/h
20160115;9;;143.51;;;;;;;Rh/h
20160115;10;;143.59;;;;;;;Rh/h
20160115;11;;143.56;;;;;;;Rh/h
20160115;12;;143.41;;;;;;;Rh/h
20160115;13;;143.57;;;;;;;Rh/h
20160115;14;;143.64;;;;;;;Rh/h
20160115;15;;143.72;;;;;;;Rh/h
